Training labels (Top 1.1):

        Class1.1  Class1.2  Class1.3
480384         1         0         0
984577         1         0         0
897154         1         0         0
413699         1         0         0
372822         1         0         0
377483         1         0         0
782350         1         0         0
404367         1         0         0
891922         1         0         0
443715         1         0         0
959508         1         0         0
483054         1         0         0
873757         1         0         0
632103         1         0         0
738475         1         0         0
359600         1         0         0
358458         1         0         0
891579         1         0         0
681788         1         0         0
780875         1         0         0
660833         1         0         0
851273         1         0         0
389459         1         0         0
361163         1         0         0
514252         1         0         0
967522         1         0         0
904145         1         0         0
975075         1         0         0
803926         1         0         0
492388         1         0         0
926426         1         0         0
380508         1         0         0
343866         1         0         0
522463         1         0         0
879329         1         0         0
500322         1         0         0
528955         1         0         0
913124         1         0         0
696039         1         0         0
542697         1         0         0
757010         1         0         0
697454         1         0         0
873715         1         0         0
434670         1         0         0
596602         1         0         0
983939         1         0         0
895614         1         0         0

Predictions (Top 1.1):

        Class1.1  Class1.2  Class1.3
480384  0.427652  0.551495  0.020854
984577  0.562664  0.403807  0.033529
897154  0.423826  0.554651  0.021523
413699  0.438512  0.539583  0.021904
372822  0.592788  0.374028  0.033184
377483  0.582640  0.386706  0.030654
782350  0.602938  0.359776  0.037287
404367  0.572273  0.397570  0.030157
891922  0.721870  0.237631  0.040499
443715  0.350424  0.631133  0.018444
959508  0.557651  0.402426  0.039923
483054  0.614248  0.365164  0.020588
873757  0.473082  0.511359  0.015559
632103  0.324878  0.666408  0.008714
738475  0.539656  0.424716  0.035628
359600  0.446077  0.509993  0.043930
358458  0.601975  0.377152  0.020873
891579  0.266545  0.715239  0.018216
681788  0.562041  0.402978  0.034981
780875  0.536002  0.440517  0.023481
660833  0.350616  0.637565  0.011820
851273  0.596053  0.366053  0.037894
389459  0.614512  0.346371  0.039116
361163  0.354897  0.636517  0.008586
514252  0.375653  0.593674  0.030673
967522  0.617653  0.343079  0.039268
904145  0.406395  0.567255  0.026350
975075  0.525490  0.448007  0.026503
803926  0.502495  0.481682  0.015823
492388  0.656529  0.305133  0.038338
926426  0.636624  0.313846  0.049529
380508  0.432455  0.520338  0.047206
343866  0.560223  0.407439  0.032339
522463  0.650281  0.315193  0.034526
879329  0.550293  0.414757  0.034950
500322  0.398431  0.580948  0.020621
528955  0.576206  0.384694  0.039100
913124  0.597117  0.361066  0.041816
696039  0.564404  0.399915  0.035681
542697  0.522739  0.455424  0.021836
757010  0.498694  0.476912  0.024393
697454  0.705535  0.261779  0.032687
873715  0.625183  0.343121  0.031696
434670  0.300128  0.681965  0.017907
596602  0.494998  0.480868  0.024135
983939  0.638711  0.327090  0.034199
895614  0.509547  0.456756  0.033698

Training Labels (Top 1.3):

        Class1.1  Class1.2  Class1.3
209411  0.273749  0.202910  0.523342
262021  0.293000  0.357000  0.350000
735110  0.441200  0.118620  0.440180
357133  0.311000  0.022000  0.667000
528143  0.402756  0.149311  0.447933
674832  0.411411  0.166166  0.422422
865297  0.256000  0.186000  0.558000
234051  0.505554  0.094063  0.400383
719893  0.374628  0.260064  0.365309
237464  0.441000  0.206000  0.353000
223904  0.190554  0.373539  0.435907
146594  0.440000  0.220000  0.340000
586075  0.329214  0.245599  0.425188
202788  0.242413  0.290022  0.467565
847665  0.240000  0.409000  0.351000
211113  0.289000  0.133000  0.578000
909489  0.398018  0.225076  0.376906
227890  0.465000  0.000000  0.535000
373941  0.361000  0.203000  0.436000
783039  0.279000  0.023000  0.698000
173504  0.497460  0.091464  0.411076
778819  0.266733  0.106893  0.626374
448708  0.385890  0.000000  0.614110
584391  0.176000  0.206000  0.618000
979275  0.534243  0.073207  0.392550
998352  0.357880  0.069154  0.572966
239186  0.530470  0.081918  0.387612
758867  0.584666  0.000000  0.415334
516309  0.283000  0.113000  0.604000
700251  0.481518  0.043956  0.474525
603740  0.406698  0.227915  0.365388
955102  0.172172  0.034034  0.793794
219749  0.226296  0.403845  0.369859
899303  0.658743  0.019394  0.321863
406866  0.289000  0.294000  0.417000
699631  0.632303  0.000000  0.367697
515861  0.049617  0.272567  0.677816
991223  0.255194  0.082220  0.662587
901883  0.327000  0.314000  0.359000
256893  0.250000  0.139000  0.611000
996629  0.290021  0.000000  0.709979

Predictions (Top 1.3):

        Class1.1  Class1.2  Class1.3
209411  0.298610  0.682246  0.019143
262021  0.482354  0.470023  0.047622
735110  0.644592  0.307349  0.048058
357133  0.297739  0.673547  0.028713
528143  0.356276  0.571256  0.072467
674832  0.460195  0.500745  0.039060
865297  0.396903  0.574852  0.028245
234051  0.472204  0.493330  0.034466
719893  0.404661  0.567656  0.027683
237464  0.331271  0.597836  0.070893
223904  0.362234  0.613858  0.023908
146594  0.416976  0.525728  0.057296
586075  0.415412  0.557485  0.027103
202788  0.334305  0.633799  0.031896
847665  0.388030  0.579053  0.032917
211113  0.580116  0.370185  0.049699
909489  0.432122  0.521788  0.046089
227890  0.493636  0.429720  0.076644
373941  0.369237  0.561201  0.069562
783039  0.485931  0.476772  0.037297
173504  0.369180  0.609250  0.021570
778819  0.230951  0.749399  0.019650
448708  0.448058  0.521362  0.030580
584391  0.409988  0.556531  0.033481
979275  0.577869  0.383021  0.039110
998352  0.253720  0.731334  0.014946
239186  0.535907  0.423301  0.040791
758867  0.584389  0.375209  0.040402
516309  0.455878  0.499710  0.044412
700251  0.365617  0.611531  0.022852
603740  0.301013  0.681139  0.017847
955102  0.507385  0.448534  0.044080
219749  0.361359  0.617461  0.021179
899303  0.541308  0.418698  0.039995
406866  0.430242  0.543594  0.026165
699631  0.516455  0.437249  0.046296
515861  0.271682  0.695014  0.033303
991223  0.420127  0.527446  0.052427
901883  0.192870  0.797526  0.009603
256893  0.320626  0.635968  0.043407
996629  0.424611  0.518994  0.056395

Training Labels:

        Class1.1  Class1.2  Class1.3
887426         0         1         0
986243         0         1         0
951044         0         1         0
922503         0         1         0
938252         0         1         0
997008         0         1         0
921795         0         1         0
959982         0         1         0
923140         0         1         0
990234         0         1         0
885532         0         1         0
915482         0         1         0
879390         0         1         0
947616         0         1         0
876833         0         1         0
874404         0         1         0
891429         0         1         0
912476         0         1         0
878967         0         1         0
897415         0         1         0
905516         0         1         0
918448         0         1         0
876616         0         1         0
906948         0         1         0
941110         0         1         0
957751         0         1         0
982200         0         1         0
916470         0         1         0
979644         0         1         0
946626         0         1         0
989763         0         1         0
973252         0         1         0
944453         0         1         0
896711         0         1         0
907080         0         1         0
935436         0         1         0
889335         0         1         0
898765         0         1         0
918608         0         1         0
931768         0         1         0
883411         0         1         0
991067         0         1         0
933084         0         1         0
915421         0         1         0
963038         0         1         0
912351         0         1         0
999137         0         1         0
990438         0         1         0
898641         0         1         0
898364         0         1         0
974058         0         1         0
919405         0         1         0
969070         0         1         0
951919         0         1         0
973680         0         1         0
889313         0         1         0
996854         0         1         0
904105         0         1         0
893560         0         1         0
999289         0         1         0

Prediction Error:

       Class1.1  Class1.2  Class1.3
887426  0.174158  0.805868  0.019974
986243  0.271859  0.701282  0.026859
951044  0.300570  0.675451  0.023979
922503  0.370735  0.598690  0.030575
938252  0.236581  0.742720  0.020699
997008  0.174421  0.816405  0.009174
921795  0.308114  0.668455  0.023431
959982  0.393983  0.572545  0.033472
923140  0.268743  0.697211  0.034046
990234  0.310284  0.659803  0.029913
885532  0.322742  0.661013  0.016244
915482  0.580749  0.394333  0.024918
879390  0.321514  0.664174  0.014311
947616  0.250588  0.737692  0.011720
876833  0.194096  0.781694  0.024210
874404  0.277064  0.710122  0.012814
891429  0.189633  0.783776  0.026591
912476  0.393782  0.590698  0.015520
878967  0.367052  0.620204  0.012744
897415  0.415779  0.562050  0.022170
905516  0.273843  0.714621  0.011536
918448  0.382964  0.590425  0.026611
876616  0.294715  0.687903  0.017381
906948  0.154014  0.826060  0.019926
941110  0.475117  0.487133  0.037750
957751  0.290201  0.691702  0.018098
982200  0.210045  0.769145  0.020809
916470  0.330680  0.641959  0.027361
979644  0.425677  0.557810  0.016513
946626  0.350789  0.622384  0.026827
989763  0.330343  0.657353  0.012305
973252  0.295568  0.667581  0.036851
944453  0.304627  0.651803  0.043570
896711  0.248318  0.736708  0.014974
907080  0.426837  0.557796  0.015368
935436  0.443818  0.525567  0.030615
889335  0.241470  0.742088  0.016442
898765  0.202998  0.782545  0.014457
918608  0.329805  0.651451  0.018744
931768  0.347943  0.631798  0.020259
883411  0.299472  0.684947  0.015581
991067  0.352813  0.633155  0.014032
933084  0.383000  0.586226  0.030774
915421  0.216536  0.766715  0.016749
963038  0.254210  0.716241  0.029549
912351  0.367922  0.612986  0.019093
999137  0.319759  0.661453  0.018788
990438  0.249891  0.734969  0.015140
898641  0.393992  0.589488  0.016520
898364  0.185031  0.804639  0.010330
974058  0.285715  0.691178  0.023107
919405  0.294131  0.682358  0.023511
969070  0.354513  0.618008  0.027479
951919  0.206901  0.781090  0.012009
973680  0.235703  0.726618  0.037679
889313  0.386922  0.574737  0.038340
996854  0.292631  0.699088  0.008281
904105  0.261018  0.727417  0.011566
893560  0.257244  0.709408  0.033348
999289  0.184151  0.803386  0.012463


Class Distribution:

           Class1.1      Class1.2      Class1.3
count  61578.000000  61578.000000  61578.000000
mean       0.432526      0.542261      0.025213
std        0.283517      0.296429      0.037967
min        0.000000      0.000000      0.000000
25%        0.175812      0.280862      0.000000
50%        0.416994      0.558754      0.014870
75%        0.679182      0.811339      0.034325
max        1.000000      1.000000      0.935147
